Number_of_Customers_Per_Day,Average_Order_Value,Marketing_Spend_Per_Day
412,3.22,217.85
301,6.11,400.23
141,9.66,337.84
398,6.12,337.0
269,2.93,162.64
175,6.85,401.55
291,7.03,424.21
494,2.52,51.54
53,2.83,380.59
147,2.81,481.55
250,7.29,410.73
61,2.78,225.34
78,8.5,14.09
197,8.69,120.58
129,8.8,52.2
104,5.18,211.36
160,4.41,48.08
75,5.21,167.08
428,8.35,383.56
464,7.67,434.63
406,3.24,377.58
179,5.03,83.46
52,8.74,466.46
136,9.7,56.42
176,9.27,74.13
321,8.24,441.82
64,9.73,250.32
145,2.64,35.83
468,7.71,433.26
386,7.1,335.37
173,3.37,95.25
112,6.61,130.45
405,8.84,411.51
178,6.15,181.5
264,7.08,378.68
150,8.77,436.69
274,5.79,368.98
315,5.26,227.8
87,4.36,377.89
459,9.45,208.21
132,9.08,133.08
93,7.95,390.64
85,9.76,225.9
214,8.09,197.97
450,2.95,453.9
462,8.03,235.21
400,2.89,449.17
58,2.57,385.51
495,5.53,337.33
222,9.96,45.54
305,3.22,76.67
440,7.87,446.02
108,2.56,261.16
460,9.58,304.47
275,2.78,385.94
337,3.29,73.86
415,7.03,21.7
493,5.7,458.75
492,3.27,323.84
169,5.88,268.63
86,8.35,92.38
496,5.88,206.48
267,8.15,70.02
434,9.68,29.25
353,9.03,475.64
125,7.66,50.86
97,2.69,105.52
409,9.04,289.05
304,9.52,245.29
171,9.67,288.77
122,8.19,272.84
247,3.35,451.37
94,4.0,297.05
137,3.4,422.81
87,8.46,341.78
163,7.58,337.59
335,5.27,241.98
72,9.75,228.41
255,4.64,262.44
337,2.63,48.22
189,6.75,203.15
50,6.15,76.89
262,8.28,187.0
86,8.04,425.62
53,2.87,426.3
246,5.94,450.31
149,5.26,259.66
143,2.69,105.12
88,9.73,74.54
278,5.22,173.71
85,4.16,72.43
445,3.57,454.66
303,4.08,213.8
96,7.8,408.04
230,8.63,166.95
427,9.31,346.84
53,3.36,456.31
490,3.1,29.38
339,5.49,329.84
186,9.91,127.95
300,2.97,257.42
313,4.58,293.26
309,5.1,249.42
78,5.03,118.03
441,9.24,182.74
296,5.53,324.37
206,7.92,403.3
336,6.42,71.88
265,3.09,264.96
266,9.76,33.41
196,5.49,155.81
377,8.21,251.74
127,4.09,453.74
290,7.33,476.61
74,2.51,431.95
474,6.99,347.68
58,5.53,241.23
391,8.17,181.85
355,5.47,433.56
463,9.78,65.56
315,7.84,282.84
272,8.62,389.58
63,7.6,253.18
295,5.87,24.36
123,4.35,332.4
365,6.5,86.37
78,5.76,376.14
72,4.98,167.1
248,3.86,213.35
331,9.33,205.25
109,10.0,258.01
458,7.41,131.43
161,9.88,341.75
266,9.19,499.46
428,9.59,391.16
484,6.77,367.47
117,3.91,482.7
130,7.83,53.93
140,3.2,428.71
64,8.51,362.16
88,5.16,396.14
190,6.7,124.12
51,6.4,34.43
458,7.95,354.93
314,4.93,142.12
389,8.07,339.98
489,3.19,246.39
467,2.63,276.99
413,7.15,405.74
333,6.75,395.49
397,8.41,419.27
139,6.83,122.05
222,7.32,307.42
118,5.05,419.13
440,5.45,21.06
210,9.86,456.0
291,7.45,90.49
217,8.0,268.81
186,8.0,13.47
88,9.98,187.27
498,6.54,374.78
219,6.56,470.97
194,7.76,349.47
265,8.23,327.57
204,7.93,93.7
134,9.03,76.14
191,4.8,495.21
212,4.69,427.27
161,4.77,396.75
471,4.28,235.73
266,5.94,267.09
64,5.02,32.88
165,5.47,127.03
314,9.15,471.23
316,3.01,352.77
190,8.27,271.68
394,6.86,55.84
102,2.74,498.15
486,3.74,433.85
112,6.68,419.7
82,5.14,97.47
488,3.8,427.25
270,7.67,141.34
145,3.6,135.28
366,8.39,483.99
276,7.03,276.61
492,4.81,53.84
103,7.57,45.89
456,9.26,307.28
399,4.56,216.67
280,9.02,450.81
246,9.86,436.08
319,7.39,294.58
362,9.3,397.16
407,3.69,48.16
343,8.74,346.47
72,5.7,364.53
490,6.78,359.69
495,5.09,447.31
483,5.17,246.42
495,2.73,68.99
386,6.56,222.29
318,4.06,52.21
310,4.38,82.25
432,3.08,398.34
331,2.56,386.69
127,3.89,246.29
62,6.48,260.92
208,8.99,174.45
413,7.8,248.34
76,3.71,328.43
138,3.66,480.2
249,8.71,263.39
67,8.67,222.68
55,4.43,115.53
344,4.57,485.9
239,4.22,188.17
148,7.38,399.13
125,3.98,363.51
186,9.31,325.25
219,9.3,220.62
345,6.56,305.86
285,4.83,220.43
229,8.71,186.12
429,3.26,167.06
389,9.3,46.35
478,4.66,67.6
214,7.87,414.47
450,5.18,290.48
495,9.26,147.83
252,7.51,352.05
334,9.96,365.03
267,5.57,412.22
190,4.74,158.12
335,5.69,311.1
437,9.63,409.82
435,4.3,487.87
152,6.74,106.62
279,7.08,142.17
100,9.03,170.84
107,6.96,249.59
102,8.28,499.68
145,7.99,319.46
415,2.94,135.58
210,8.37,29.89
457,5.25,62.34
342,3.98,340.35
308,7.36,108.08
175,5.26,188.64
269,8.72,273.41
196,9.77,58.63
107,7.05,464.9
445,9.42,322.73
374,4.87,310.43
209,5.66,102.36
112,6.4,495.93
418,2.86,409.17
147,3.72,89.62
63,5.72,127.67
177,5.86,232.93
436,7.06,35.65
235,8.47,85.17
206,3.44,264.91
183,8.02,337.96
329,4.11,129.13
167,5.27,467.86
337,4.66,362.98
351,4.61,387.29
156,3.07,173.02
76,7.61,35.49
368,9.85,431.91
288,7.58,306.95
222,5.86,300.32
222,6.71,259.15
408,5.75,106.58
260,5.2,474.24
369,4.14,140.14
75,3.22,401.85
89,4.32,468.64
87,9.98,209.94
161,6.31,197.95
494,7.41,337.03
331,7.69,310.57
494,9.57,385.76
452,4.01,428.11
131,4.49,367.02
283,9.72,270.72
380,7.14,140.39
302,7.28,184.82
118,5.19,23.81
467,8.11,461.89
444,9.9,45.72
244,6.34,90.39
144,5.35,130.71
317,9.75,45.56
182,8.4,346.0
212,8.83,214.68
263,3.5,213.66
335,7.82,499.74
116,8.08,320.61
105,4.79,58.04
485,3.83,274.2
343,9.09,313.37
306,2.59,218.9
226,2.89,365.21
398,2.64,247.58
286,9.72,285.7
203,8.67,377.37
443,7.0,455.7
349,4.28,466.43
303,8.37,272.49
244,5.24,354.4
457,7.45,349.77
269,5.11,294.98
184,4.33,364.11
379,9.07,437.06
50,5.95,36.83
192,9.68,136.69
335,5.71,357.36
339,5.61,277.42
147,9.41,181.98
428,6.59,484.72
362,5.0,422.67
201,2.72,417.87
175,7.77,121.11
99,7.41,59.08
184,9.9,233.14
485,4.5,57.83
234,3.68,355.69
272,4.24,192.43
313,6.42,481.09
395,3.3,381.85
474,8.53,57.44
194,9.1,167.08
456,4.71,227.09
404,6.37,380.89
458,6.79,368.03
149,5.8,86.88
203,3.64,166.66
346,2.88,362.78
177,9.51,72.05
229,4.75,16.28
338,9.49,185.53
343,7.51,334.12
138,5.39,376.35
472,7.86,296.83
422,5.58,238.52
154,5.75,311.3
146,6.41,315.05
322,5.01,178.85
296,4.26,255.15
220,3.08,473.11
357,9.94,400.74
445,8.32,25.92
492,9.08,178.55
276,8.79,407.2
250,3.54,67.58
484,3.02,328.89
285,8.99,459.16
66,9.86,95.65
281,9.63,59.3
286,9.04,315.25
75,5.67,418.12
197,4.04,491.96
406,5.87,397.35
198,9.4,52.1
350,9.5,477.52
162,5.41,159.5
184,7.16,317.11
117,9.63,144.84
352,4.02,285.32
221,6.06,336.31
178,5.91,113.64
201,4.35,275.46
451,8.19,278.33
247,7.17,177.37
296,4.04,254.49
490,7.96,215.92
308,7.5,74.91
417,7.42,383.35
68,5.29,138.51
398,7.76,416.53
148,7.96,364.19
340,8.28,148.92
469,7.6,156.72
118,7.71,393.63
341,9.15,392.43
438,2.59,104.09
183,4.36,272.92
301,5.45,88.82
300,8.93,45.64
245,3.04,304.26
124,6.23,124.48
199,3.15,259.89
460,7.2,31.39
428,8.48,124.26
106,6.54,228.9
288,8.95,349.51
311,6.65,448.05
372,6.23,209.63
466,3.63,490.2
355,7.26,452.6
456,8.49,477.31
177,9.91,172.15
378,8.8,377.16
138,3.48,302.06
219,7.18,69.47
186,7.82,127.21
317,6.74,448.57
148,7.18,274.71
288,3.7,44.57
362,4.73,138.72
406,6.45,467.37
491,3.73,388.2
174,2.93,149.3
409,7.5,469.48
437,3.11,276.04
244,7.32,147.42
222,2.58,219.29
484,9.1,467.0
150,4.0,229.56
130,9.8,405.66
350,5.96,396.63
192,5.1,139.83
365,9.3,211.05
230,6.11,414.32
88,5.09,91.75
72,4.71,454.96
85,2.51,213.87
305,7.98,161.09
331,8.55,465.92
476,8.35,208.31
209,8.54,16.51
197,3.55,277.99
299,6.29,147.0
139,4.54,255.71
157,8.4,230.3
463,8.63,492.94
419,5.33,209.25
131,5.64,273.06
201,3.4,126.79
143,5.64,113.04
221,9.79,311.98
266,8.47,221.71
316,9.95,359.92
269,7.03,94.65
185,4.46,52.44
59,9.15,327.38
225,2.97,25.22
71,4.45,319.01
264,7.6,318.08
103,5.43,134.79
278,7.41,184.21
101,8.85,280.82
308,5.72,274.98
227,4.8,478.43
276,4.49,146.17
241,6.16,198.17
89,6.88,78.46
379,5.78,12.87
441,7.0,480.28
434,3.75,31.85
56,8.85,220.86
426,4.7,111.37
57,3.02,10.7
83,5.67,438.63
77,5.97,130.27
114,8.39,461.18
66,8.64,60.14
438,4.36,34.09
111,3.03,311.62
166,3.09,412.08
487,7.03,367.65
103,5.94,184.54
431,7.97,228.92
435,5.96,295.25
379,8.4,234.52
384,9.56,328.09
207,4.09,322.33
422,3.69,233.23
371,4.01,35.1
226,4.85,379.12
95,3.33,367.33
370,6.68,207.24
163,2.59,23.64
160,3.55,98.03
395,7.71,86.74
304,3.56,403.57
386,3.17,399.38
491,6.11,238.67
256,7.86,231.05
158,7.26,455.41
403,7.68,207.11
370,7.01,107.48
310,2.8,80.5
111,9.71,48.48
350,4.6,279.77
201,5.19,104.79
425,4.13,473.98
195,8.0,147.73
111,9.78,261.58
255,4.16,482.53
414,4.79,460.7
137,8.15,29.11
88,7.18,197.7
312,9.24,445.0
239,6.84,200.8
473,7.69,59.57
82,6.16,144.1
324,8.58,28.8
373,5.55,235.83
296,7.15,200.82
266,3.46,257.51
345,7.8,467.46
175,5.88,65.49
169,2.54,248.38
455,9.73,179.35
393,7.31,163.46
340,3.9,457.77
249,4.23,289.05
107,9.99,445.25
495,9.53,141.32
62,5.73,422.85
84,6.7,266.41
259,2.91,121.77
171,6.93,180.17
230,7.51,473.63
74,7.86,342.28
127,9.88,434.17
302,9.53,67.21
149,8.6,266.88
493,4.65,62.44
418,8.31,171.25
221,8.93,156.09
250,3.57,263.83
434,7.94,345.52
228,8.8,96.44
437,8.12,208.55
75,3.01,81.36
192,4.18,426.66
282,6.94,19.63
278,8.66,246.7
460,8.94,414.69
326,6.44,11.92
155,3.04,316.87
203,8.83,245.27
356,2.72,134.53
202,8.44,284.96
428,7.89,275.73
280,3.7,58.58
243,5.16,207.49
195,8.21,273.68
102,2.77,95.5
326,7.13,235.69
248,5.83,438.64
183,4.01,110.54
334,6.03,53.95
324,9.27,161.92
51,3.63,195.37
79,3.91,47.01
454,9.47,481.56
158,7.94,220.87
201,3.86,31.98
198,5.57,252.46
396,2.59,429.94
343,4.63,210.68
363,7.24,197.59
496,5.8,221.74
356,3.85,88.24
428,7.33,431.07
188,7.39,13.48
163,5.53,35.88
285,6.55,224.5
410,6.2,93.68
450,4.58,116.71
414,3.36,365.48
241,8.23,495.41
453,9.93,474.97
258,6.25,30.68
498,6.5,350.12
186,7.19,138.58
276,8.5,337.94
103,3.68,17.9
367,3.49,343.32
449,7.65,52.36
282,4.31,141.46
329,6.02,271.47
338,3.26,121.49
397,3.02,442.04
122,4.69,158.72
354,4.44,478.04
150,7.66,39.73
100,6.25,389.59
64,4.0,318.71
180,6.87,23.78
398,6.17,379.2
236,9.97,106.65
298,6.03,46.3
397,2.8,131.66
91,7.08,176.71
447,5.8,154.4
352,2.86,243.8
314,5.73,223.66
124,7.65,195.89
92,4.87,473.06
301,5.44,49.23
361,5.98,366.96
332,4.75,42.83
195,6.43,94.12
282,9.56,379.92
368,7.79,304.83
328,2.81,470.94
201,8.71,255.1
214,4.85,404.89
227,5.91,414.01
217,4.89,187.47
146,9.08,74.2
404,8.49,182.59
194,9.3,143.43
457,7.27,489.15
145,4.72,429.91
56,8.5,463.08
437,8.66,481.16
91,4.45,268.38
98,7.01,18.83
466,9.19,484.53
292,6.08,14.49
244,5.76,160.06
286,5.95,492.62
408,3.99,34.75
313,6.39,468.41
82,6.7,226.92
203,5.75,99.95
147,5.97,230.4
341,7.92,479.92
395,5.05,297.26
293,3.57,387.51
93,9.5,235.37
170,5.66,211.45
480,5.87,431.28
247,7.15,19.97
280,6.1,14.22
347,7.57,300.85
467,7.77,361.85
379,2.68,144.61
118,3.94,449.41
148,9.25,63.12
437,3.81,230.3
320,5.06,438.62
109,5.38,314.54
216,9.8,125.17
333,7.34,442.0
377,6.24,13.66
180,7.71,208.28
280,7.23,303.52
107,4.52,86.29
108,8.21,468.73
241,2.55,401.29
124,9.67,130.86
365,6.16,169.01
499,3.46,268.23
495,3.41,197.36
220,8.96,104.02
322,3.75,277.84
97,3.34,117.5
153,3.16,146.29
341,7.47,247.78
367,3.04,422.84
466,3.83,362.8
463,7.19,214.55
345,2.71,336.85
387,4.02,145.94
462,5.46,167.12
375,5.85,494.75
351,8.3,251.46
324,7.72,14.88
310,7.17,371.69
150,3.48,397.74
416,3.48,272.05
329,9.5,437.47
332,3.86,339.31
429,3.44,444.43
271,7.18,145.99
447,2.89,248.08
256,9.2,334.31
302,3.24,484.78
445,3.97,104.96
476,2.85,306.48
195,3.03,479.31
469,4.72,283.05
484,3.52,408.08
103,6.58,399.04
209,9.09,251.56
54,9.16,147.04
77,4.32,297.43
144,2.79,240.2
116,5.46,248.67
429,3.1,104.23
408,8.75,265.71
102,8.18,97.38
227,4.37,240.64
296,7.86,138.63
160,8.81,342.79
430,9.68,263.64
435,6.31,129.37
361,5.76,463.83
294,3.49,360.05
329,7.71,79.67
498,7.67,434.84
293,9.0,325.93
320,6.05,423.04
459,8.06,337.69
308,9.34,440.9
492,6.14,50.15
141,4.45,90.72
231,5.17,388.02
273,3.36,405.84
122,4.99,102.07
90,8.33,232.44
301,2.72,277.66
416,4.39,71.81
484,8.13,287.29
257,8.84,322.28
366,7.53,150.76
278,8.91,192.99
251,6.91,344.76
430,2.99,25.29
202,7.49,403.55
369,6.29,456.67
445,7.1,474.31
348,3.51,138.22
290,3.29,28.8
223,4.03,263.39
271,4.88,276.31
435,3.07,246.35
102,4.3,126.68
436,4.94,468.88
228,9.21,237.33
130,3.12,90.23
238,4.84,288.72
110,5.65,307.8
275,2.57,45.46
336,7.89,407.03
58,8.48,438.03
277,5.21,270.86
473,6.23,91.73
193,8.16,269.47
298,9.18,123.06
121,8.88,183.49
484,8.36,486.31
392,4.37,326.12
53,9.06,250.95
77,9.19,357.79
142,4.09,398.49
379,9.68,362.96
424,4.64,472.45
412,8.05,290.23
420,6.41,341.29
367,9.68,217.45
399,5.85,276.62
323,9.77,329.62
457,9.1,469.37
465,9.01,235.19
330,4.59,150.55
390,6.32,406.31
370,3.62,211.3
278,5.1,487.63
342,3.99,204.62
291,2.67,455.69
370,5.6,167.15
91,8.61,251.26
125,9.58,169.45
222,7.27,404.43
282,4.95,250.25
213,5.29,201.28
130,4.27,426.57
433,7.36,438.46
134,5.93,418.17
273,7.77,74.47
229,6.41,317.82
52,5.56,177.74
492,6.96,220.79
61,8.81,127.72
445,6.61,328.98
364,9.64,257.85
338,6.5,131.01
337,2.61,48.83
125,7.38,476.33
181,8.04,458.03
229,6.36,206.17
317,5.46,28.39
261,3.0,407.86
465,8.97,374.24
83,8.69,472.45
162,4.12,33.06
135,9.89,420.09
115,9.81,336.54
313,3.44,256.99
201,5.66,107.79
67,7.05,157.58
464,8.81,100.07
124,9.64,320.3
319,5.94,271.44
360,4.62,178.05
272,2.88,108.28
284,8.12,289.39
62,8.42,209.1
335,9.85,204.07
351,9.26,233.18
484,8.36,441.81
127,4.29,155.13
425,5.12,89.47
399,6.2,449.16
377,6.88,191.0
179,6.87,333.63
141,3.11,115.58
435,9.37,71.97
427,4.75,473.43
164,8.07,492.91
273,3.51,240.68
125,5.96,467.68
183,2.73,95.64
89,8.67,45.46
363,9.94,356.54
299,3.48,292.82
100,8.29,179.89
110,7.4,123.82
241,9.75,410.8
225,3.26,251.58
326,7.13,392.54
153,5.8,492.32
275,3.86,65.69
87,5.09,387.91
161,7.43,61.84
409,5.48,416.67
410,2.94,101.58
228,8.03,357.77
101,5.43,247.1
118,7.84,285.95
243,9.1,149.41
332,9.59,454.36
168,4.19,209.12
393,5.2,474.18
66,3.64,16.26
64,4.0,313.11
459,7.12,409.87
303,3.05,168.34
372,6.48,21.48
467,7.6,373.24
414,7.87,354.18
233,5.18,235.22
247,3.26,466.9
77,8.3,51.85
340,3.37,112.03
138,3.51,415.17
189,7.54,97.63
401,8.63,458.27
410,2.68,181.81
147,4.31,102.65
377,5.41,417.31
387,7.62,396.57
447,2.51,248.86
55,8.8,187.22
406,9.83,36.18
276,6.83,161.72
240,3.76,101.8
376,6.24,358.11
450,6.21,119.57
391,6.14,323.29
488,4.52,345.37
460,2.75,428.66
217,9.67,274.87
299,6.42,320.55
442,9.03,402.4
95,7.08,402.89
486,7.64,338.42
264,9.76,228.48
345,8.32,95.24
409,8.92,420.06
446,7.48,189.35
352,3.39,141.61
252,6.91,80.77
280,9.0,494.13
115,7.11,289.89
410,4.7,429.72
261,5.58,461.17
162,9.77,108.45
327,5.84,232.38
364,8.91,315.05
428,8.7,257.09
112,3.11,336.22
351,8.76,349.36
152,8.78,341.79
338,4.38,247.69
285,9.04,10.63
318,7.79,448.11
351,3.01,287.27
277,2.99,157.81
395,5.54,446.21
455,4.3,21.29
269,7.57,366.31
200,9.84,496.49
295,3.74,355.2
135,4.21,51.26
277,5.56,222.06
497,4.21,247.06
179,8.02,287.76
342,5.13,113.27
69,8.74,382.89
405,5.78,207.36
226,5.74,223.67
402,4.53,297.52
55,8.55,211.19
481,4.64,452.98
222,2.7,375.76
401,7.71,88.28
63,5.27,68.44
335,9.79,107.84
374,3.96,312.87
368,8.43,335.11
54,3.63,65.48
138,5.49,293.16
98,9.75,457.0
229,2.54,103.64
166,7.85,195.39
365,8.19,62.65
395,9.83,164.81
483,7.58,240.65
74,8.06,74.23
289,9.74,317.15
404,5.09,34.39
415,5.88,290.42
212,5.49,357.56
162,8.3,414.51
58,3.07,276.79
400,5.26,465.09
59,8.42,270.36
453,8.63,290.66
499,3.56,469.84
228,6.07,268.36
121,8.32,40.99
288,7.52,86.7
333,9.97,492.44
239,7.24,371.34
368,7.39,428.16
195,7.84,306.05
124,3.13,375.24
180,9.18,31.5
334,5.78,41.8
185,5.26,305.86
227,5.34,103.83
193,2.82,280.33
62,5.38,19.51
435,7.62,113.6
282,5.84,407.36
239,5.36,109.72
329,9.41,242.52
206,8.85,462.38
219,7.12,72.17
226,7.92,282.38
103,5.73,292.14
50,7.3,164.07
351,5.68,316.29
119,6.95,108.58
439,4.57,354.29
235,4.35,337.89
159,9.3,142.47
308,4.44,53.5
439,5.74,53.31
484,6.7,213.4
456,3.36,260.65
391,6.55,189.69
267,3.19,90.71
275,5.41,264.06
60,4.59,441.93
93,9.21,147.92
389,5.84,139.93
286,5.05,279.84
374,8.2,361.42
304,3.42,327.65
333,9.64,189.71
171,7.26,116.24
450,5.28,170.2
247,4.58,374.77
480,3.76,249.07
209,9.7,150.28
110,3.66,314.52
221,9.13,211.14
451,6.39,189.48
91,6.23,135.98
466,7.52,51.85
96,7.0,372.85
413,3.01,320.26
390,6.77,48.56
100,4.54,332.86
460,7.24,175.87
97,2.57,368.79
164,2.64,445.98
433,6.39,136.53
200,9.53,41.16
364,8.52,238.09
102,7.48,466.81
63,4.77,197.91
114,6.71,411.0
56,2.98,208.45
490,3.04,483.26
114,2.98,80.71
368,9.05,64.17
399,8.72,268.14
74,7.42,301.69
405,5.56,148.51
427,9.6,324.72
182,9.35,474.34
65,8.63,473.73
415,6.09,129.3
482,2.82,469.97
420,5.14,497.34
185,8.9,52.04
431,8.01,102.43
182,4.86,175.31
50,9.89,226.51
442,3.91,300.32
329,4.56,261.01
84,6.76,136.57
171,7.73,344.51
170,2.64,149.93
88,9.19,104.88
202,8.03,225.81
107,5.52,69.04
288,6.27,299.52
452,4.21,483.76
197,3.2,54.45
484,9.12,195.69
499,7.2,394.15
198,6.27,35.46
490,4.57,391.47
362,4.31,444.55
113,4.91,485.63
112,3.04,166.81
219,2.59,370.41
